"zip","city","county","pop"
"80479","Toponas","Routt","4"
"81038","Fort Lyon","Bent","0"
"81633","Dinosaur","Moffat","0"
"81612","Aspen","Pitkin","0"
"81227","Monarch","Chaffee","0"
"80475","Shawnee","Park","0"
"80471","Pinecliffe","Boulder","0"
"80448","Grant","Park","0"
"80419","Golden","Jefferson","0"
"80294","Denver","Denver","0"
"80293","Denver","Denver","0"
"80290","Denver","Denver","0"
"80264","Denver","Denver","0"
